id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
37172815,"studio met dubbel bed, kitchenette, privé badkamer",277207975,Viki,,Dampoort,51.04806,3.74817,Entire home/apt,69,2,152,2025-06-15,2.12,1,199,21,
37243655,Classy Apartment in City Center with Large Balcony,280394189,Jan,,Binnenstad,51.04634,3.73159,Entire home/apt,211,2,119,2025-06-09,1.68,1,294,16,
37435966,"Large clean room, quiet area, 4 km to city centre",274154183,,,Sint Amandsberg,51.07276,3.75557,Private room,38,2,141,2025-06-20,1.97,1,64,26,
37619980,Salt & Pepper Ghent,284220349,Ellen,,Binnenstad,51.05341,3.73173,Entire home/apt,145,2,128,2025-05-05,1.80,1,206,9,
37778964,Keizerpark house,14393272,Camila,,Oud Gentbrugge,51.04334909195059,3.7453917413949966,Entire home/apt,67,2,5,2025-03-01,0.73,2,245,5,
37846290,Junior Suite Apartment 4P Lord of Ghent,46082978,Vic,,Binnenstad,51.05225,3.72516,Entire home/apt,276,1,2,2022-07-25,0.03,2,305,0,
37885207,Luxurious room : Only longstays accepted,44367636,Louiza,,Binnenstad,51.05464,3.72769,Private room,28,20,4,2020-03-29,0.06,2,114,0,
37886518,Luxurious room: only long-stays accepted,44367636,Louiza,,Binnenstad,51.05586,3.72794,Private room,87,30,1,2025-04-02,0.36,2,139,1,
38062257,Cosy home with garden in Ghent,164444014,Koen,,Dampoort,51.05484,3.75082,Entire home/apt,102,4,13,2025-06-01,0.62,1,3,12,
38251780,LucMoon BnB Ledeberg,193703180,Luc,,Ledeberg,51.03548,3.74414,Private room,109,30,16,2021-05-15,0.23,3,364,0,
38289776,LucMoon BnB Ledeberg 4,193703180,Luc,,Ledeberg,51.03504,3.74292,Private room,100,30,1,2019-11-03,0.01,3,364,0,
38320217,LucMoon BnB Ledeberg 3,193703180,Luc,,Ledeberg,51.03561,3.7441,Private room,60,30,1,2019-11-24,0.01,3,364,0,
38344954,Master Bedroom in Ghent (8 min. from center),291794534,Nadine,,Wondelgem,51.06991,3.72814,Private room,48,2,135,2025-06-22,1.99,2,145,23,
38345272,Cozy Bedroom in Ghent (8 min. from center),291794534,Nadine,,Sluizeken - Tolhuis - Ham,51.06857,3.72943,Private room,48,2,126,2025-05-20,1.86,2,148,15,
38506115,Ghent - the place to be The Cactus Room,272913310,Ayesha,,Brugse Poort - Rooigem,51.06294250488281,3.699800968170166,Private room,48,3,4,2025-05-03,0.06,5,24,1,
38563377,Loft attic with roof terrace and small pool,42959643,Greta,,Oud Gentbrugge,51.04426,3.7458,Entire home/apt,88,2,90,2025-06-08,2.58,1,13,27,
38611254,Artist's Loft,83766425,Erik,,Elisabethbegijnhof - Papegaai,51.0474,3.7189,Entire home/apt,140,2,3,2025-06-03,0.10,4,363,2,
38779697,The Future House 2.0 Apt 101,3438311,Andre,,Wondelgem,51.09281921386719,3.716136932373047,Entire home/apt,145,7,25,2024-10-24,0.37,4,201,3,
38813297,"M/S Carpe-Diem ""Cargo Hold"" - Loft on a Barge",49858029,Filip,,Muide - Meulestede - Afrikalaan,51.06409,3.73794,Entire home/apt,153,4,32,2024-09-08,0.48,1,0,5,
